"","y","t","s","i"
"1",1594000,1152311.98784595,1.37539117173022,1.00575454694475
"2",1563000,1150575.86018804,1.36445650925583,0.995598016033567
"3",1551000,1149993.35604791,1.35379484236041,0.996239165569373
"4",1533000,1151923.06485767,1.33461656083156,0.997153851560216
"5",1534000,1156269.39955823,1.33293795556127,0.995305473992963
"6",1557000,1162803.68195832,1.33960409581706,0.999552817285701
"7",1579000,1170547.74957063,1.35069867345901,0.998698786834002
"8",1625000,1178780.08071858,1.37803216162024,1.00037129922288
"9",1621000,1186169.19631954,1.35915712560691,1.00546441977934
"10",1577000,1191578.90542615,1.32357293516678,0.99991022407976
"11",1525000,1197012.3033157,1.28106983120232,0.994485431972673
"12",1505000,1204331.19504785,1.24907768103317,1.00046319364767
"13",1470000,1211709.77746112,1.20806655145947,1.0042176785716
"14",1410000,1217251.88442137,1.15699116851401,1.00117181115675
"15",1386000,1221138.45673765,1.1323500684227,1.0023458834785
"16",1342000,1223395.18117772,1.09388681687931,1.00279777551242
"17",1302000,1224054.90888551,1.06316483845971,1.00048246040467
"18",1242000,1222946.07059274,1.00992678672749,1.00559799448042
"19",1169000,1220304.43359442,0.961388159342081,0.996431740220543
"20",1129000,1217517.68000675,0.925413012405574,1.00203539757089
"21",1062000,1215816.9637377,0.879468035892158,0.993198965245779
"22",1085000,1214467.43859556,0.885095905870415,1.00937729394541
"23",1038000,1212094.21029594,0.861953305417034,0.99352142573075
"24",1023000,1209821.58617977,0.843217469224485,1.00280088648399
"25",1008000,1207059.8055915,0.832312221075774,1.00333386766008
"26",980000,1205349.04264191,0.825827946686137,0.984518027140079
"27",1139000,1208781.09029194,0.943308920611134,0.998900257703152
"28",1212000,1214285.98461033,0.992106499623689,1.00605874998037
"29",1184000,1216799.8950785,0.967875177156585,1.005340519973
"30",1205000,1214034.35221911,0.980553558346853,1.01224292782717
"31",1174000,1206071.98555001,0.97443317739777,0.998947822852812
"32",1132000,1196854.05982623,0.948687724031019,0.99696967543268
"33",1064000,1189999.20548791,0.89961941658483,0.993885000192069
"34",993999.999999999,1186689.40401874,0.841704119039871,0.995153024716333
"35",931000,1186547.06717461,0.78645610637247,0.997677601069725
"36",938000,1186889.27081198,0.785169943762348,1.00653520126578
"37",890999.999999999,1185609.71178941,0.752834608112167,0.998243245661589
"38",878000,1183211.97653578,0.739738990028008,1.00312129243811
"39",860000,1180722.0160929,0.73140590834921,0.995846326494298
"40",859000,1180441.00537046,0.733241886407483,0.992433945207544
"41",901000,1181864.73975334,0.755215835243092,1.00945259185322
"42",890999.999999999,1181254.63374968,0.754193241465471,1.00011868836101
"43",893000,1179233.78869011,0.758668045863726,0.998159057048091
"44",919999.999999999,1176771.38760034,0.777221278886072,1.00589128348885
"45",951000.000000001,1171749.71769315,0.80790448483329,1.0045825739873
"46",951999.999999999,1167654.17102005,0.832149181751566,0.979764101498661
"47",1062000,1167076.90515377,0.895620362466856,1.01601725290297
"48",1089000,1165666.11623634,0.940533369218435,0.993297857534236
"49",1127000,1164713.14356602,0.972733434331014,0.994743468224814
"50",1201000,1165657.20780563,1.02403391951816,1.00613860214169
"51",1260000,1164424.78296777,1.07625488718134,1.00541177777769
"52",1484000,1160806.93589617,1.28264027865768,0.996710498235264
"53",1618000,1159335.89823829,1.41162266778758,0.988668300958313
"54",1647000,1161601.82885073,1.41187154629938,1.00424834838879
"55",1649000,1162251.48037771,1.40173870498345,1.01217004973786
"56",1602000,1158004.95594012,1.38375763046065,0.999751501291869
"57",1591000,1151355.01968131,1.37863113495557,1.00233486851137
"58",1572000,1143013.97856426,1.36764286427827,1.00560701938896
"59",1541000,1134437.32085888,1.37463201016402,0.988179136480968
"60",1575000,1127586.77475774,1.38542214919256,1.0082040973706
"61",1513000,1120883.47761749,1.35681076994491,0.994853605680013
"62",1469000,1114874.01893373,1.32007472512579,0.998153847476199
"63",1421000,1109436.80063906,1.27373726221918,1.0055684908197
"64",1358000,1101790.87623342,1.22716690776519,1.00437747153992
"65",1288000,1091249.08505506,1.17572187910453,1.00389287142794
"66",1202000,1080996.66007723,1.12676474875411,0.986840271451556
"67",1174000,1075048.56704508,1.09605636699092,0.996338983194699
"68",1123000,1073653.85568281,1.05401623758508,0.992357523843507
"69",1112000,1073755.30413341,1.02554244950953,1.00982431489563
"70",1040000,1072774.45939078,0.974275694869215,0.995045742023617
"71",1006000,1071595.46193271,0.93734280769669,1.00154084072495
"72",965999.999999999,1071067.71653108,0.903762842832508,0.997942952024637
"73",923000,1071184.2236203,0.862809081218444,0.998671889964323
"74",915999.999999999,1072399.67668806,0.855906677565625,0.99795827728461
"75",921000.000000001,1072527.14915938,0.848158080246121,1.01245220815563
"76",883000,1069414.58066079,0.827527420603104,0.997774060448997
"77",872000,1065389.74752026,0.820087921853158,0.998039100392747
"78",858000.000000001,1063042.8977752,0.810529105671333,0.995790280095589
"79",982000,1060245.55367342,0.913818754499839,1.0135494936533
"80",1022000,1053758.06961857,0.968849500772435,1.00104514238492
"81",975000.000000001,1046526.116039,0.941299456093131,0.989752796130401
"82",975000.000000001,1045765.68599527,0.952726534482743,0.978592689840766
"83",1012000,1054230.43478513,0.965039108009491,0.99471816605469
"84",1021000,1066601.55823994,0.949436916915627,1.00822488828615
"85",993999.999999999,1074748.01026863,0.909856183258755,1.01649906572494
"86",935000,1074111.65712873,0.85806832124524,1.01447257815301
"87",845000,1067303.16891747,0.796627087928039,0.993833977169301
"88",836000,1060985.66242842,0.791644533023564,0.995328742119847
"89",804999.999999999,1057801.52124697,0.764048681264941,0.996025971028879
"90",786000.000000001,1056949.70802133,0.745102032910643,0.998050403620104
"91",785000,1056833.07484468,0.740252093498132,1.00342199351998
"92",788000.000000001,1054890.3899705,0.741812331497099,1.00698924701306
"93",790000,1050463.46748558,0.752960239812079,0.998789789954987
"94",791000,1046060.86016468,0.759455183107333,0.995674490324662
"95",797000,1043214.51129544,0.763812850138154,1.00022508306737
"96",804000,1042252.08249643,0.777564616242311,0.992080213121398
"97",839000,1044878.66621761,0.808742333166828,0.99285521697048
"98",909000,1048200.66260099,0.851598465017136,1.01832072662177
"99",922000.000000001,1048167.60544518,0.886074930470184,0.992726781743885
"100",1002000,1047653.78384209,0.956604601372664,0.999809985962432
